Model Name,Category,binary_accuracy,precision,recall,f1-score,support,Optimization Metric,Threshold
"bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",Deviation / Discrepancy - Procedural,0.78185743,0.809368191721133,0.8530424799081515,0.8306316377864729,871.0,0.7444362690764795,0.45
"bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",Aircraft Equipment,0.89056873,0.8064516129032258,0.7894736842105263,0.7978723404255319,380.0,0.7444362690764795,0.51
"bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",Conflict,0.9330453,0.8491228070175438,0.8287671232876712,0.8388214904679375,292.0,0.7444362690764795,0.36
"bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",Inflight Event / Encounter,0.8776098,0.7647058823529411,0.7604456824512534,0.7625698324022346,359.0,0.7444362690764795,0.35
"bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",ATC Issue,0.89056873,0.7712264150943396,0.856020942408377,0.8114143920595533,382.0,0.7444362690764795,0.43
"bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",Deviation - Altitude,0.9337653,0.8421052631578947,0.6530612244897959,0.735632183908046,196.0,0.7444362690764795,0.42
"bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",Deviation - Track / Heading,0.93520516,0.8201438848920863,0.6368715083798883,0.7169811320754718,179.0,0.7444362690764795,0.41
"bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",Ground Event / Encounter,0.9092873,0.7348837209302326,0.6960352422907489,0.7149321266968326,227.0,0.7444362690764795,0.47
"bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",Flight Deck / Cabin / Aircraft Event,0.9510439,0.8403361344537815,0.6711409395973155,0.746268656716418,149.0,0.7444362690764795,0.31
"bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",Ground Incursion,0.9546436,0.8461538461538461,0.6111111111111112,0.7096774193548387,126.0,0.7444362690764795,0.56
"bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",Airspace Violation,0.95680344,0.898876404494382,0.6106870229007634,0.7272727272727272,131.0,0.7444362690764795,0.17
"bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",Deviation - Speed,0.94600433,0.86,0.5850340136054422,0.6963562753036436,147.0,0.7444362690764795,0.36
"bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",Ground Excursion,0.97408205,0.9396551724137931,0.7898550724637681,0.858267716535433,138.0,0.7444362690764795,0.36
"bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",No Specific Anomaly Occurred,0.9539237,0.8787878787878788,0.3258426966292135,0.4754098360655738,89.0,0.7444362690764795,0.28
"bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",micro avg,0.9206007,0.8111436950146628,0.7545008183306056,0.7817976257772753,3666.0,0.7444362690764795,
"bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",macro avg,0.9206007,0.8329869438837914,0.6905277674095732,0.7444362690764795,3666.0,0.7444362690764795,
"bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",weighted avg,0.9206007,0.8158900365905563,0.7545008183306056,0.7771812375506606,3666.0,0.7444362690764795,
"bert-base-uncased_Unfrozen[8, 9, 10, 11]_BCE",samples avg,0.9206007,0.8205663546916246,0.763636051972985,0.7625757651675578,3666.0,0.7444362690764795,
"NASA-AIML_MIKA_SafeAeroBERT_Unfrozen[8, 9, 10, 11]_BCE",Deviation / Discrepancy - Procedural,0.7868970632553101,0.8114842903575298,0.8599311136624569,0.8350055741360088,871.0,0.740285277051379,0.33
"NASA-AIML_MIKA_SafeAeroBERT_Unfrozen[8, 9, 10, 11]_BCE",Aircraft Equipment,0.8948884010314941,0.8145161290322581,0.7973684210526316,0.8058510638297873,380.0,0.740285277051379,0.46
"NASA-AIML_MIKA_SafeAeroBERT_Unfrozen[8, 9, 10, 11]_BCE",Conflict,0.9373649954795836,0.8838951310861424,0.8082191780821918,0.8443649373881932,292.0,0.740285277051379,0.6
"NASA-AIML_MIKA_SafeAeroBERT_Unfrozen[8, 9, 10, 11]_BCE",Inflight Event / Encounter,0.8718502521514893,0.7452574525745257,0.766016713091922,0.7554945054945055,359.0,0.740285277051379,0.37
"NASA-AIML_MIKA_SafeAeroBERT_Unfrozen[8, 9, 10, 11]_BCE",ATC Issue,0.9006479382514954,0.8065326633165829,0.8403141361256544,0.823076923076923,382.0,0.740285277051379,0.47
"NASA-AIML_MIKA_SafeAeroBERT_Unfrozen[8, 9, 10, 11]_BCE",Deviation - Altitude,0.9359251260757446,0.8242424242424242,0.6938775510204082,0.7534626038781165,196.0,0.740285277051379,0.33
"NASA-AIML_MIKA_SafeAeroBERT_Unfrozen[8, 9, 10, 11]_BCE",Deviation - Track / Heading,0.9395248293876648,0.8275862068965517,0.6703910614525139,0.7407407407407407,179.0,0.740285277051379,0.44
"NASA-AIML_MIKA_SafeAeroBERT_Unfrozen[8, 9, 10, 11]_BCE",Ground Event / Encounter,0.9128869771957396,0.7548076923076923,0.6916299559471366,0.7218390804597701,227.0,0.740285277051379,0.42
"NASA-AIML_MIKA_SafeAeroBERT_Unfrozen[8, 9, 10, 11]_BCE",Flight Deck / Cabin / Aircraft Event,0.9539237022399902,0.8828828828828829,0.6577181208053692,0.7538461538461538,149.0,0.740285277051379,0.34
